"portal","geo","month","NormalizedSI","pctTot"
"Portal - Boat Trader Online","Europe - Geographical Area",1,0.817651779348688,0.0681376482790573
"Portal - Boat Trader Online","Europe - Geographical Area",2,0.846907702879532,0.0705756419066277
"Portal - Boat Trader Online","Europe - Geographical Area",3,0.931816630861038,0.0776513859050865
"Portal - Boat Trader Online","Europe - Geographical Area",4,0.910756273220804,0.0758963561017337
"Portal - Boat Trader Online","Europe - Geographical Area",5,1.09710201653413,0.0914251680445107
"Portal - Boat Trader Online","Europe - Geographical Area",6,1.11485419183632,0.0929045159863597
"Portal - Boat Trader Online","Europe - Geographical Area",7,1.28272002485478,0.106893335404565
"Portal - Boat Trader Online","Europe - Geographical Area",8,1.5363771848839,0.128031432073658
"Portal - Boat Trader Online","Europe - Geographical Area",9,1.19449803040776,0.0995415025339803
"Portal - Boat Trader Online","Europe - Geographical Area",10,0.854263198845718,0.0711885999038098
"Portal - Boat Trader Online","Europe - Geographical Area",11,0.73202000050198,0.0610016667084983
"Portal - Boat Trader Online","Europe - Geographical Area",12,0.681032965825353,0.0567527471521128
"Portal - Boat Trader Online","UK - Geographical Area",1,0.878810803498494,0.0732342336248745
"Portal - Boat Trader Online","UK - Geographical Area",2,0.803288292741302,0.0669406910617752
"Portal - Boat Trader Online","UK - Geographical Area",3,0.89725437962091,0.0747711983017425
"Portal - Boat Trader Online","UK - Geographical Area",4,0.964010884665213,0.0803342403887678
"Portal - Boat Trader Online","UK - Geographical Area",5,1.23992778243157,0.103327315202631
"Portal - Boat Trader Online","UK - Geographical Area",6,1.26527677331072,0.105439731109226
"Portal - Boat Trader Online","UK - Geographical Area",7,1.19119028913042,0.0992658574275353
"Portal - Boat Trader Online","UK - Geographical Area",8,1.38532235154555,0.115443529295462
"Portal - Boat Trader Online","UK - Geographical Area",9,1.16846985124638,0.0973724876038648
"Portal - Boat Trader Online","UK - Geographical Area",10,0.850315041337794,0.0708595867781495
"Portal - Boat Trader Online","UK - Geographical Area",11,0.76164352201127,0.0634702935009391
"Portal - Boat Trader Online","UK - Geographical Area",12,0.594490028460382,0.0495408357050318
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",1,0.785439701583787,0.0654533084653156
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",2,0.871415554044979,0.0726179628370816
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",3,0.945425767388957,0.0787854806157465
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",4,0.94096495468172,0.0784137462234767
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",5,1.18047412500679,0.0983728437505662
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",6,1.21954130547741,0.101628442123118
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",7,1.41994121219312,0.118328434349427
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",8,1.38508234559726,0.115423528799771
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",9,0.958380360266737,0.0798650300222281
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",10,0.857906866507023,0.0714922388755853
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",11,0.753849292097313,0.0628207743414427
"Portal - Boat Trader Online","RussiaScandinavia - Geographical Area",12,0.681578515154898,0.0567982095962415
"Portal - Boat Trader Online","CA_WEST - Geographical Area",1,0.72196136789401,0.0601634473245008
"Portal - Boat Trader Online","CA_WEST - Geographical Area",2,0.795593585959532,0.0662994654966277
"Portal - Boat Trader Online","CA_WEST - Geographical Area",3,0.944453667952935,0.0787044723294112
"Portal - Boat Trader Online","CA_WEST - Geographical Area",4,0.975710090902425,0.0813091742418688
"Portal - Boat Trader Online","CA_WEST - Geographical Area",5,1.12826751230832,0.0940222926923599
"Portal - Boat Trader Online","CA_WEST - Geographical Area",6,1.25725040584493,0.104770867153744
"Portal - Boat Trader Online","CA_WEST - Geographical Area",7,1.59698164589351,0.133081803824459
"Portal - Boat Trader Online","CA_WEST - Geographical Area",8,1.6973660065885,0.141447167215708
"Portal - Boat Trader Online","CA_WEST - Geographical Area",9,1.05818674603359,0.0881822288361321
"Portal - Boat Trader Online","CA_WEST - Geographical Area",10,0.725298547240426,0.0604415456033688
"Portal - Boat Trader Online","CA_WEST - Geographical Area",11,0.594405437657166,0.0495337864714305
"Portal - Boat Trader Online","CA_WEST - Geographical Area",12,0.504524985724668,0.042043748810389
"Portal - Boat Trader Online","CA_EAST - Geographical Area",1,0.701976820741877,0.0584980683951564
"Portal - Boat Trader Online","CA_EAST - Geographical Area",2,0.768850086820199,0.0640708405683499
